"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bosnia and Herzegovina","BIH","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.6","","","","","","","","","","17.804","","","","","34.864","32.943","26.785","25.643","29.928","29.941","30.664","29.021","31.166","30.694","30.049","23.135","20.326","18.778","18.537","18.118","15.448","12.818",
"Belarus","BLR","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07","0.8","1.8","2.6","3.5","5","3.6","3","2.6","2.4","2.6","3.5","3.9","2.4","2","1.5","1.2","0.9","4.6","","0.6","0.5","0.4","0.4","0.7","4.194","4.044","3.562","3.2","3.301","3.068","2.905","",
"Belize","BLZ","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.16","15.55","17.86","18.63","20.35","21.33","20.33","","15.37","15.31","","","17.06","15.09","13.01","","","","","","12.592","14.016","11.074","11.137","9.808","","13.584","","15.126","","",
"Bermuda","BMU","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.28","","","","","","","","","3.01","5.97","","8.17","5.56","8.05","","","","","","","","","",
"Bolivia","BOL","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","10.83","11.54","12.6","11.59","9.94","7.41","7.12","5.56","5.26","2.84","4.09","5.53","2.03","","4.59","5.58","6.17","6.94","","4.88","6.54","5.74","5.95","3.354","3.606","","2.678","2.793","3.004","2.849","3.79","4.032","4.046","3.609","3.986","9.777","5.65","4.158","",
"Brazil","BRA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","1.9","2.76","2.8","2.76","","4.16","5.09","4.63","4.4","3.86","2.71","3.95","4.25","5.353","5.574","","8.935","7.34","","9.014","10.641","12.03","13.589","14.58","","13.673","13.608","14.188","13.25","13.891","12.696","12.407","11.173","12.585","","10.351","9.222","8.958","8.306","10.292","13.584","14.861","14.394","14.322","16.223","16.41","11.491","9.681",
"Barbados","BRB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","13.12","17.8","15.86","12.47","11.31","9.52","10.41","11.24","22.07","24.2","22.97","23.27","23.34","18.73","10.44","8.55","25.79","27.66","27.91","22.71","17.65","17.99","16.52","13.41","11.47","11.81","12.14","12.55","","","","","","9.89","10.47","","","11.43","12.78","8.966","8.652","8.781","8.535","7.272","","","","",
"Brunei Darussalam","BRN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","32.631","27.114","25.925","24.981","22.262","","","","","","","","6.7","","","","","","","","","","","","","","","","","","","","","","","7.839","","","9.958","10.073","7.919","8.912","6.424","5.941","",
"Bhutan","BTN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.6","","3.2","","","3.34","3.3","3.81","","","5.35","3.97","4.54","2.2","3.7","3.49","3.15","","","4.154","3.263","5.974","6.061","7.941","4.205",
"Botswana","BWA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","30.82","","","","","","17.18","","","22.8","","23.952","","23.57","","17.25","22.15","","26.3","","","19.985","","","19.597","21.43","","","","","","","","","21.88","22.557","25.944","25.928","26.894",
"Central African Republic","CAF","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","4.5","5.1","5.3","5.1","4.9","","8.206","9.171","9.547","8.692","8.329","8.256","10.743","11.563","11.309","10.569","9.757","9.204","8.19","7.767","8.091","9.69","10.192","10.677","9.796","9.115","9.288","8.919","7.987","7.293","6.695","6.856","7.125","7.158","6.853","6.465","6.202","5.791","5.77","7.164","7.356","7.175","6.951","6.684","6.504","6.307","6.277","5.929","5.528","5.265","9.522","7.34","5.138","5.259",
"Central Europe and the Baltics","CEB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4766889374941","","11.7924353438855","11.0974614449974","10.657638167305","10.0436985651852","9.55741365167012","10.4842914234944","12.9705166688106","13.6399431984695","14.0573751837173","13.3210706224584","13.0979254132555","12.6771944020775","10.5876180592264","8.19173267281779","6.97374200300477","8.4529968372071","9.82030284507426","9.88732747765675","10.1378039693787","10.2406405957685","9.1331125909453","7.90769380349188","6.44378777064269","5.25676309562548","4.28974262139036","3.85048994428732","4.41497336206768","4.485768634362","3.9725129158864","4.05805289418521",
"Switzerland","CHE","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","0.2","0.6","0.4","0.4","0.4","0.3","0.2","0.6","0.9","1.4","1.2","1.1","1.1","1","0.8","2.62","2.688","2.984","4.465","4.257","3.659","4.083","3.93","4.085","3.53","3.118","3.459","3.096","4.489","4.764","5.092","4.7","4.507","3.969","4.511","5.197","4.798","4.738","4.918","4.986","4.913","5.006","5.058","5.109","4.711","5","5.314","4.57","4.3",
"Channel Islands","CHI","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","16.27","13.08","16.3","14.03","10.07","9.96","18.25","14.69","15.9","","9.65","","7.75","6.04","5.69","5.74","5.32","5.1","6.78","5.25","9.994","9.588","9.341","13.101","12.481","11.931","11.807","12.03","13.013","12.278","11.756","10.883","12.131","13.42","9.838","8.83","8.05","7.041","7.058","7.005","7.21","7.798","8.53","8.219","11.148","9.558","8.809","9.356",
"China","CHN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.841","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.329","5.108","","","2.344","3.87","","3.013","","","","",
"Cameroon","CMR","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","","","","","6.7","","","","4.6","","3.495","","","4.88","","","","4.027","","","","","","","7.51","","",
"Congo, Dem. Rep.","COD","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.262","","","","","","","3.619","","","","","","","","1.082","","","",
"Congo, Rep.","COG","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.01","","","","17.058","","","10.8","","","","","","","","","","","",
"Colombia","COL","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","12.87","","11.9","","","11.5","","","14.22","16.27","18.65","17.16","14.48","","","","13.53","13.01","11","12.3","11.32","14.94","15.1","18.03","23.31","24.47","19.404","18.124","17.068","18.021","14.464","","14.812","14.767","15.839","14.343","13.284","12.87","11.891","11.262","11.076","11.427","11.706","11.984","13.08","20.482","18.128","13.197","11.839",
"Comoros","COM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.89","","","","","","","","","","10.442","","","","","","","6.522","","",
"Cabo Verde","CPV","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.58","","","","","","","","","","","","","","","","","","","13.715","","","","","","31.635","","12.76","11.55","12.07","","","","",
"Costa Rica","CRI","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.627","7.876","8.199","8.456","9.814","8.647","6.82","6.256","9.876","9.046","11.932","10.853","9.755","10.528","10.384","10.188","9.757","11.465","14.139","21.286","20.16","15.226","10.251",
"Caribbean small states","CSS","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.0686495000685","22.0649785780544","22.1701397783558","21.3563872632784","20.5929220943554","21.0816809301904","20.783592056919","19.8711939328952","19.4949817071104","","17.2211737281025","17.3889962577017","15.3779624753756","","14.2729276636764","12.4216025696154","12.0795181007786","8.31611036033966","9.4537424060728","8.54901181394456","9.68565892170185","10.1458343480469","10.8600542342005","9.91453246495085","12.6702417441061","9.52080267837407","","","7.44668449000548","","","","",
"Cuba","CUB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.99","12.29","11.16","9.38","9.64","8.26","5.76","4.63","3.4","2.205","2.21","2.215","1.871","1.966","1.99","2.71","3.51","3.62","3.55","3.1","2.6","2.2","1.6","1.8","","","","","",
"Curacao","CUW","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.38","","20.33","","","",
"Cayman Islands","CYM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.67","","","","","","","","","","","","","4.39","","2.81","4.2","4.12","4.99","","5.47","5.31","5.84","4.65","5.2","","","","","","","","",
"Cyprus","CYP","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","7.4","10.5","5.3","3.1","2.6","2.4","2.6","2.9","4.5","4.1","4.1","4.2","5","4.7","3.8","3.3","2.5","4.4","2.23","4.1","3.9","3.7","4.3","4.5","4.2","7.279","7.334","5.806","4.253","4.619","6.318","6.743","5.46","4.606","4.423","5.71","6.506","7.746","11.335","15.392","15.272","14.892","13.379","11.354","8.883","8.082","7.816","8.002","7.737","6.2",
"Czechia","CZE","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","2.07","3","5.453","5.217","4.867","4.614","5.773","8.247","10.505","10.566","9.876","9.028","9.883","9.905","9.793","8.837","6.733","5.612","7.73","8.461","7.895","8.205","8.287","7.394","6.078","4.673","3.583","2.808","2.379","2.954","3.426","2.768","3.1",
"Germany","DEU","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","7.534","8.243","8.469","8.23","7.918","7.902","7.47","6.119","6.524","8.225","9.32","10.316","9.628","9.592","10.589","10.436","9.235","8.27","7.78","8.214","9.282","10.078","10.888","10.174","8.795","7.649","7.311","6.498","5.582","5.178","4.916","4.631","4.221","3.741","3.315","2.91","2.727","3.437","3.238","2.898","2.8",
"Djibouti","DJI","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.898","","","","","","",
"Dominica","DMA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.25","","10.01","","","","","","27.29","","19.42","","9.45","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","0.5","1.5","3.9","5","6.9","8.3","7.4","7.6","9.2","10","10.449","10.157","9.489","7.768","7.133","7.316","8.904","8.923","10.018","9.865","11.084","8.999","8.646","8.396","6.441","6.402","5.898","4.971","4.782","4.318","5.75","5.439","5.278","4.534","4.199","4.074","5.669","6.763","7.62","7.791","7.673","7.141","6.529","6.379","6.054","5.346","5.269","5.98","5.139","4.493","5.3",
"Dominican Republic","DOM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.615","11.235","10.147","10.025","9.985","9.712","8.864","7.561","7.37","7.889","7.039","8.349","9.208","10.525","9.686","10.836","10.654","8.074","9.028","9.506","8.937","12.277","8.509","8.332",
"Algeria","DZA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.14","20.71","17","","","","","","26.17","","","29.72","","","25.44","18.19","","","","","18.1","19.1","","16.99","16.3","15.582","16.566","18.247","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.16476265638849","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.08099912022558","","","","","","6.83142522671311","","","","","7.54238649720653","","","","","6.33714042545197","","6.18620537922654","","","","","","7.55806059207652","6.94555333068081","7.4494153404525","6.91649838765652","6.40870683725195","",
"East Asia & Pacific","EAS","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.18560511993789","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.18049947006711","5.84773790867007","7.22801863090518","7.62628567019524","8.50927028228573","10.222093440526","11.4012605158714","12.3247689042172","10.0043277853218","9.38119511651135","8.74550347135211","8.83821431553197","8.61883097040751","7.9288355196314","7.86049522635274","6.94074639820983","7.32412705715982","8.6166247893079","8.22414336212678","7.56732449572598","6.94735946971846","6.94959471924044","6.99060916070098","7.35378865228659","7.43675945156604","7.21209182551146","7.08789971126977","7.59686406874397","7.59019860448282","7.41844755855253","6.15343106630122","",
"Europe & Central Asia","ECS","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.61215073219675","9.71068032740055","10.5500484708187","10.2322118616123","10.560029842923","11.0420366229566","11.2616318088556","11.2240033316247","10.2128119395","9.36413576176387","9.25085329609277","9.29485231286933","9.27578396590759","8.99324700029883","8.49897508605045","7.4841742127183","7.41100243462609","8.7391877229418","8.94974763511762","8.84274931868174","9.09176223269848","9.14900823043774","8.90666361690777","8.57085556793354","8.15096581999296","7.5419568994219","7.03700133896287","6.9125105864104","7.41756264116528","7.35047054795821","6.34349265207155","",
"Ecuador","ECU","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.37","10.28","10.94","9.03","12.84","13.04","11.15","8.62","8.72","14.07","12.64","15.92","19.25","6.436","5.205","","6.157","5.705","4.703","4.363","3.904","4.984","5.857","4.95","4.27","3.814","3.653","4.129","4.497","5.812","4.897","4.38","4.583","7.34","5.769","4.445","4.314",
"Egypt, Arab Rep.","EGY","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","11.29","12.29","14.93","17.72","14.78","16.83","10.21","11.03","","","","","10.93","17.89","21.22","17.18","22.53","22.97","23.91","20.4","19.8","19.79","19.26","22.73","22.06","23.81","23.09","26.19","24.253","23.94","18.42","18.876","22.38","22.112","22.441","24.012","24.166","23.997","24.814","23.639","23.069","21.442","21.665","17.797","16.091","18.516","",
"Euro area","EMU","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.086997473886","11.8173426937719","13.0358355079319","14.1174878248153","13.9227441850555","13.9577956340183","13.9143260924879","13.585803348346","12.6398896186849","11.52572459687","10.0293429796451","10.0926381076318","10.2244496767784","10.4438744020209","10.2810279417766","9.5750652021145","8.59630591130215","8.37882489290644","9.81642322462175","10.3696011109726","10.4941386792117","11.6010096613827","12.0767410993348","11.8235486041889","11.0785598028815","10.3708473137981","9.43669571265479","8.54429032165471","7.87627496166274","8.16082824629488","8.12065334286727","7.18745345750572","6.92185471211599",
"Eritrea","ERI","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
